title,company,city,country,job_type,date_published,month_posted,day_of_week,is_remote,salary,has_salary,company_rating,occupation,jobUrl,source,date_scraped
Analyste développeur - Equipe Datamart Réglementaire (H/F),Euro-Information,Strasbourg,France,CDI,2026-02-09,2026-02,Monday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 50000, ""salaryMin"": 38000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 38\u202f000 \u20ac \u00e0 50\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers du d\u00e9veloppement logiciel"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers de l'architecture et du d\u00e9veloppement de logiciels""]",https://fr.indeed.com/viewjob?jk=ba826dffab8bfbcb,Crédit Mutuel,2026-03-15
Business Analyste expérimenté/e - Aeroline - Aix-en-Provence,Sopra Steria,Aix-en-Provence,France,Temps plein,2026-03-04,2026-03,Wednesday,False,{},False,3.4,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Ing\u00e9nieurs/es et analystes en applications et syst\u00e8mes informatiques"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers des infrastructures et de la s\u00e9curit\u00e9 informatique"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers des infrastructures informatiques"", ""M\u00e9tiers des syst\u00e8mes et des applications informatiques""]",https://fr.indeed.com/viewjob?jk=80b99bacc961e543,Sopra Steria,2026-03-15
Apprenti Analyste Marché (H/F),Liebherr Group,Colmar,France,Temps plein,2026-02-06,2026-02,Friday,False,{},False,3.8,"[""M\u00e9tiers de la s\u00e9curit\u00e9 des syst\u00e8mes d'information"", ""M\u00e9tiers des infrastructures et de la s\u00e9curit\u00e9 informatique"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""Analystes et ing\u00e9nieurs/es en s\u00e9curit\u00e9 des syst\u00e8mes d'information""]",https://fr.indeed.com/viewjob?jk=49e6e66cba0a9840,Liebherr Group,2026-03-15
Data Analyst F/H - Rennes,Groupe BPCE,Saint-Grégoire,France,CDI,2026-03-02,2026-03,Monday,False,"{""salaryCurrency"": ""EUR"", ""salarySource"": ""EXTRACTION"", ""salaryText"": ""Jusqu\u2019\u00e0 3\u202f700 \u20ac par mois"", ""salaryType"": ""monthly""}",True,3.5,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies""]",https://fr.indeed.com/viewjob?jk=2999309ee5da26ef,GROUPE BPCE,2026-03-15
Business Analyst F/H,Atos,Pessac,France,Non spécifié,2026-02-20,2026-02,Friday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 55000, ""salaryMin"": 45000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 45\u202f000 \u20ac \u00e0 55\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies""]",https://fr.indeed.com/viewjob?jk=a35620ff6623c5b8,Atos,2026-03-15
Alternance - Analyste financier junior (H/F),Studi CFA,Cergy,France,Contrat d'apprentissage,2025-07-29,2025-07,Tuesday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 1823.030029296875, ""salaryMin"": 492.2200012207031, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 492,22 \u20ac \u00e0 1\u202f823,03 \u20ac par mois"", ""salaryType"": ""monthly""}",True,3.7,"[""M\u00e9tiers de la finance et de la comptabilit\u00e9"", ""M\u00e9tiers du conseil financier, de l'analyse et de la gestion de placements"", ""M\u00e9tiers de l'analyse financi\u00e8re""]",https://fr.indeed.com/viewjob?jk=9395c12d412cddf7,Studi,2026-03-15
Analyste développeur Mainframe - Habilitations (H/F),Euro-Information,Nantes,France,CDI,2026-03-11,2026-03,Wednesday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 50000, ""salaryMin"": 37500, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 37\u202f500 \u20ac \u00e0 50\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""Ing\u00e9nieurs/es et analystes en applications et syst\u00e8mes informatiques"", ""M\u00e9tiers des infrastructures et de la s\u00e9curit\u00e9 informatique"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers des infrastructures informatiques"", ""M\u00e9tiers des syst\u00e8mes et des applications informatiques""]",https://fr.indeed.com/viewjob?jk=3766154b882c1b69,Crédit Mutuel,2026-03-15
Alternance - Consultant junior finance (H/F),Studi CFA,Aubervilliers,France,Contrat d'apprentissage,2025-07-29,2025-07,Tuesday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 1823.030029296875, ""salaryMin"": 492.2200012207031, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 492,22 \u20ac \u00e0 1\u202f823,03 \u20ac par mois"", ""salaryType"": ""monthly""}",True,3.7,"[""M\u00e9tiers de la finance et de la comptabilit\u00e9""]",https://fr.indeed.com/viewjob?jk=a7b5d404a8be815a,Studi,2026-03-15
Analyste Développeur Cobol - Responsable d'Application Recouvrement/Contentieux (H/F),Euro-Information,Courbevoie,France,CDI,2024-11-24,2024-11,Sunday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 55000, ""salaryMin"": 40000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 40\u202f000 \u20ac \u00e0 55\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers du d\u00e9veloppement logiciel"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers de l'architecture et du d\u00e9veloppement de logiciels"", ""D\u00e9veloppeurs/ses mobile""]",https://fr.indeed.com/viewjob?jk=49100d91401f8c9d,Crédit Mutuel,2026-03-15
Alternance Data Analyst - H/F (F/H),ISCOD,Clichy,France,Alternance,2026-03-13,2026-03,Friday,False,{},False,3.3,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies""]",https://fr.indeed.com/viewjob?jk=1431d475e23e3f5e,ISCOD,2026-03-15
Analyste développeur C# - Ingénierie (H/F),Euro-Information,Strasbourg,France,CDI,2025-12-15,2025-12,Monday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 45000, ""salaryMin"": 37500, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 37\u202f500 \u20ac \u00e0 45\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers du d\u00e9veloppement logiciel"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers de l'architecture et du d\u00e9veloppement de logiciels""]",https://fr.indeed.com/viewjob?jk=b117fb3f838c5c1e,Crédit Mutuel,2026-03-15
Alternance - Consultant RH Junior H/F,ESCM,Strasbourg,France,Alternance,2026-01-08,2026-01,Thursday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 1802, ""salaryMin"": 775, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 775 \u20ac \u00e0 1\u202f802 \u20ac par mois"", ""salaryType"": ""monthly""}",True,5.0,"[""M\u00e9tiers des Ressources Humaines"", ""M\u00e9tiers de la gestion des organisations et de l'administration""]",https://fr.indeed.com/viewjob?jk=8ade63f14a9851c4,Indeed,2026-03-15
Analyste développeur monétique (H/F),Euro-Information,Strasbourg,France,CDI,2024-11-23,2024-11,Saturday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 50000, ""salaryMin"": 35000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 35\u202f000 \u20ac \u00e0 50\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers du d\u00e9veloppement logiciel"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers de l'architecture et du d\u00e9veloppement de logiciels""]",https://fr.indeed.com/viewjob?jk=138f83072c20884d,Crédit Mutuel,2026-03-15
Analyste développeur mainframe - Instruction des crédits à la consommation (H/F),Euro-Information,Nantes,France,CDI,2024-11-23,2024-11,Saturday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 45000, ""salaryMin"": 35000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 35\u202f000 \u20ac \u00e0 45\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""Ing\u00e9nieurs/es et analystes en applications et syst\u00e8mes informatiques"", ""M\u00e9tiers des infrastructures et de la s\u00e9curit\u00e9 informatique"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers des infrastructures informatiques"", ""M\u00e9tiers des syst\u00e8mes et des applications informatiques""]",https://fr.indeed.com/viewjob?jk=a7f323af4d516c16,Crédit Mutuel,2026-03-15
Analyste développeur cognitive factory (H/F),Euro-Information,Strasbourg,France,CDI,2024-11-24,2024-11,Sunday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 50000, ""salaryMin"": 36000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 36\u202f000 \u20ac \u00e0 50\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers du d\u00e9veloppement logiciel"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers de l'architecture et du d\u00e9veloppement de logiciels""]",https://fr.indeed.com/viewjob?jk=ba006839e5d30c21,Crédit Mutuel,2026-03-15
Analyste développeur - Equipe Récolte Normalisée (H/F),Euro-Information,Strasbourg,France,CDI,2026-02-09,2026-02,Monday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 50000, ""salaryMin"": 38000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 38\u202f000 \u20ac \u00e0 50\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers du d\u00e9veloppement logiciel"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers de l'architecture et du d\u00e9veloppement de logiciels""]",https://fr.indeed.com/viewjob?jk=677c8de39d6e34c3,Crédit Mutuel,2026-03-15
Analyste développeur COBOL/C# - Monétique (H/F),Euro-Information,Strasbourg,France,CDI,2024-11-23,2024-11,Saturday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 50000, ""salaryMin"": 35000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 35\u202f000 \u20ac \u00e0 50\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers du d\u00e9veloppement logiciel"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers de l'architecture et du d\u00e9veloppement de logiciels""]",https://fr.indeed.com/viewjob?jk=1077ebd6303ed985,Crédit Mutuel,2026-03-15
Analyste développeur mainframe - Réglementation bâloise (H/F),Euro-Information,Nantes,France,CDI,2024-11-24,2024-11,Sunday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 45000, ""salaryMin"": 36000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 36\u202f000 \u20ac \u00e0 45\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""Ing\u00e9nieurs/es et analystes en applications et syst\u00e8mes informatiques"", ""M\u00e9tiers des infrastructures et de la s\u00e9curit\u00e9 informatique"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers des infrastructures informatiques"", ""M\u00e9tiers des syst\u00e8mes et des applications informatiques""]",https://fr.indeed.com/viewjob?jk=2674c5db609403a2,Crédit Mutuel,2026-03-15
Analyste développeur Mainframe (H/F),Euro-Information,Nantes,France,CDI,2025-06-16,2025-06,Monday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 50000, ""salaryMin"": 37500, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 37\u202f500 \u20ac \u00e0 50\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""Ing\u00e9nieurs/es et analystes en applications et syst\u00e8mes informatiques"", ""M\u00e9tiers des infrastructures et de la s\u00e9curit\u00e9 informatique"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers des infrastructures informatiques"", ""M\u00e9tiers des syst\u00e8mes et des applications informatiques""]",https://fr.indeed.com/viewjob?jk=cb356e5252d80901,Crédit Mutuel,2026-03-15
Analyste développeur de Framework - Ingénierie (H/F),Euro-Information,Strasbourg,France,CDI,2025-10-29,2025-10,Wednesday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 45000, ""salaryMin"": 37500, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 37\u202f500 \u20ac \u00e0 45\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers du d\u00e9veloppement logiciel"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers de l'architecture et du d\u00e9veloppement de logiciels""]",https://fr.indeed.com/viewjob?jk=a3de435d505ee6a1,Crédit Mutuel,2026-03-15
Analyste développeur Senior Cobol (H/F),Euro-Information,Courbevoie,France,CDI,2026-01-06,2026-01,Tuesday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 55000, ""salaryMin"": 40000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 40\u202f000 \u20ac \u00e0 55\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers du d\u00e9veloppement logiciel"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers de l'architecture et du d\u00e9veloppement de logiciels""]",https://fr.indeed.com/viewjob?jk=b1814854444db664,Crédit Mutuel,2026-03-15
Analyste développeur fullstack - Outils de gestion de la sécurité (H/F),Euro-Information,Nantes,France,CDI,2026-01-28,2026-01,Wednesday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 45000, ""salaryMin"": 35000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 35\u202f000 \u20ac \u00e0 45\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers du d\u00e9veloppement logiciel"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers de l'architecture et du d\u00e9veloppement de logiciels""]",https://fr.indeed.com/viewjob?jk=3dfd78d9c5d6699b,Crédit Mutuel,2026-03-15
Analyste développeur Mainframe - Equipe Gestion des temps (H/F),Euro-Information,Nantes,France,CDI,2026-01-15,2026-01,Thursday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 50000, ""salaryMin"": 37500, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 37\u202f500 \u20ac \u00e0 50\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""Ing\u00e9nieurs/es et analystes en applications et syst\u00e8mes informatiques"", ""M\u00e9tiers des infrastructures et de la s\u00e9curit\u00e9 informatique"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers des infrastructures informatiques"", ""M\u00e9tiers des syst\u00e8mes et des applications informatiques""]",https://fr.indeed.com/viewjob?jk=0c8b20170c7875e5,Crédit Mutuel,2026-03-15
Analyste développeur Mainframe - MCO référentiels clients (H/F),Euro-Information,Nantes,France,CDI,2025-06-16,2025-06,Monday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 50000, ""salaryMin"": 37500, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 37\u202f500 \u20ac \u00e0 50\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""Ing\u00e9nieurs/es et analystes en applications et syst\u00e8mes informatiques"", ""M\u00e9tiers des infrastructures et de la s\u00e9curit\u00e9 informatique"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers des infrastructures informatiques"", ""M\u00e9tiers des syst\u00e8mes et des applications informatiques""]",https://fr.indeed.com/viewjob?jk=a6a2d89de70915d9,Crédit Mutuel,2026-03-15
Analyste développeur confirmé - Parcours de recherche et d'assistance (H/F),Euro-Information,Strasbourg,France,CDI,2024-12-20,2024-12,Friday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 45000, ""salaryMin"": 38000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 38\u202f000 \u20ac \u00e0 45\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers de la recherche"", ""M\u00e9tiers de la science et de la recherche"", ""M\u00e9tiers du d\u00e9veloppement logiciel"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers de l'architecture et du d\u00e9veloppement de logiciels""]",https://fr.indeed.com/viewjob?jk=f215bb6c8e7af693,Crédit Mutuel,2026-03-15
Analyste développeur nouvelles technologies (H/F),Euro-Information,Strasbourg,France,CDI,2025-10-03,2025-10,Friday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 50000, ""salaryMin"": 36000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 36\u202f000 \u20ac \u00e0 50\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers du d\u00e9veloppement logiciel"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers de l'architecture et du d\u00e9veloppement de logiciels""]",https://fr.indeed.com/viewjob?jk=cf1c4d26ccd02340,Crédit Mutuel,2026-03-15
Analyste développeur C# expérimenté (H/F),Euro-Information,Strasbourg,France,CDI,2024-12-03,2024-12,Tuesday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 45000, ""salaryMin"": 35000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 35\u202f000 \u20ac \u00e0 45\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers du d\u00e9veloppement logiciel"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers de l'architecture et du d\u00e9veloppement de logiciels""]",https://fr.indeed.com/viewjob?jk=c4dd945d96954439,Crédit Mutuel,2026-03-15
